O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Doradca genetyczny
7.98,7.54,5.43,9.32,6.21,5.41,5.08,1.15,6.25,5.85,Doradca genetyczny
9.34,8.35,6.24,9.23,7.02,6.14,5.92,1.23,7.18,6.52,Doradca genetyczny
8.99,8.55,6.45,6.5,7.22,6.12,5.79,1.25,7.06,5.8,Doradca genetyczny
9.12,7.45,4.01,5.23,4.67,8.29,4.62,4.34,6.9,6.34,Geolog
9.5,8.1,4.01,5.23,3.1,8.8,4.62,3.56,6.3,6.67,Geolog
9.3,7.9,3.81,5.03,2.9,8.6,4.42,3.36,6.1,6.47,Geolog
9.12,7.45,4.01,5.23,4.67,5.72,5.36,1.58,6.8,5.61,Geolog
9.5,8.1,4.01,5.23,3.1,6.09,5.55,2.31,7.18,5.8,Geolog
9.3,7.9,3.81,5.03,2.9,5.95,5.41,2.29,7.02,5.66,Geolog
9.12,8.46,5.02,6.24,5.68,6.12,5.56,1.68,7.1,5.81,Geolog
9.23,9.11,5.02,6.24,4.11,6.41,5.62,2.41,7.35,5.86,Geolog
9.45,8.91,4.82,6.04,3.91,6.4,5.69,2.39,7.4,5.94,Geolog
8.78,5.67,4.56,6.45,4.23,7.23,5.51,4.4,6.51,6.06,Grafik
8.78,5.67,4.56,6.45,4.23,4.9,5.3,1.0,6.09,5.68,Grafik
9.79,6.68,5.57,7.46,5.24,5.61,6.01,1.1,6.9,6.39,Grafik
6.45,6.67,7.01,8.12,5.56,6.56,7.57,6.29,6.01,7.4,Rekruter HR
6.45,6.67,7.01,8.12,5.56,4.6,4.63,1.0,5.23,4.85,Rekruter HR
7.46,7.68,8.02,9.13,6.57,5.31,5.33,1.1,6.03,5.56,Rekruter HR
5.23,7.12,7.34,8.45,6.45,6.18,7.9,6.9,5.84,7.79,Menedżer zasobów ludzkich
5.23,7.12,7.34,8.45,6.45,4.42,4.08,0.91,4.75,4.31,Menedżer zasobów ludzkich
6.24,8.13,8.35,9.46,7.46,5.12,4.79,1.01,5.56,5.01,Menedżer zasobów ludzkich
7.45,7.78,6.01,8.67,6.45,7.62,7.34,6.23,6.95,8.23,Prawnik praw człowieka
7.65,7.98,6.21,8.87,6.65,7.82,7.54,6.43,7.15,8.43,Prawnik praw człowieka
7.45,7.78,6.01,8.67,6.45,5.35,4.93,1.18,6.06,5.46,Prawnik praw człowieka
7.65,7.98,6.21,8.87,6.65,5.49,5.07,1.2,6.22,5.6,Prawnik praw człowieka
8.46,8.79,7.02,9.68,7.46,6.05,5.63,1.28,6.87,6.17,Prawnik praw człowieka
8.66,8.99,7.22,9.88,7.66,6.19,5.77,1.3,7.03,6.31,Prawnik praw człowieka
9.5,8.1,4.01,5.23,3.1,8.8,4.62,3.56,6.3,6.67,Hydrolog
9.5,8.1,4.01,5.23,3.1,6.09,5.55,2.31,7.18,5.8,Hydrolog
9.87,9.11,5.02,6.24,4.11,6.61,5.94,2.41,7.67,6.18,Hydrolog
7.67,6.89,3.78,4.89,4.34,7.28,4.34,4.06,6.01,5.89,Projektant przemysłowy
7.67,6.89,3.78,4.89,4.34,5.06,4.59,1.45,5.9,4.81,Projektant przemysłowy
8.68,7.9,4.79,5.9,5.35,5.76,5.3,1.56,6.71,5.52,Projektant przemysłowy
6.01,7.34,4.01,5.23,4.67,6.68,4.62,4.34,5.34,6.29,Inżynier przemysłowy
6.01,7.34,4.01,5.23,4.67,4.74,3.81,1.54,5.21,4.05,Inżynier przemysłowy
7.02,8.35,5.02,6.24,5.68,5.45,4.51,1.64,6.02,4.76,Inżynier przemysłowy
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Ubezpieczyciel
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Ubezpieczyciel
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Ubezpieczyciel
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Ubezpieczyciel
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Ubezpieczyciel
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Ubezpieczyciel
8.45,4.23,7.67,7.23,6.45,6.34,7.45,7.06,7.45,5.73,Dekorator wnętrz
6.23,4.23,8.45,7.98,6.45,5.23,8.22,7.45,6.34,6.11,Dekorator wnętrz
6.03,4.03,8.25,7.78,6.25,5.03,8.02,7.25,6.14,5.91,Dekorator wnętrz
8.45,4.23,7.67,7.23,6.45,4.23,5.76,0.24,5.49,5.67,Dekorator wnętrz
6.23,4.23,8.45,7.98,6.45,3.56,4.81,0.24,4.38,4.71,Dekorator wnętrz
6.03,4.03,8.25,7.78,6.25,3.42,4.67,0.26,4.22,4.57,Dekorator wnętrz
9.46,5.24,8.68,8.24,7.46,4.93,6.47,0.14,6.3,6.38,Dekorator wnętrz
7.24,5.24,9.46,8.99,7.46,4.27,5.51,0.14,5.19,5.42,Dekorator wnętrz
7.04,5.04,9.26,8.79,7.26,4.13,5.37,0.16,5.03,5.28,Dekorator wnętrz
7.23,8.23,8.67,6.45,6.01,7.73,7.56,7.34,6.62,7.34,Bankier inwestycyjny
7.43,8.43,8.87,6.65,6.21,7.93,7.76,7.54,6.82,7.54,Bankier inwestycyjny
7.23,8.23,8.67,6.45,6.01,5.46,5.35,1.49,6.08,4.91,Bankier inwestycyjny
7.43,8.43,8.87,6.65,6.21,5.6,5.49,1.51,6.24,5.05,Bankier inwestycyjny
8.24,9.24,9.68,7.46,7.02,6.17,6.06,1.59,6.89,5.61,Bankier inwestycyjny
8.44,9.44,9.88,7.66,7.22,6.31,6.2,1.61,7.05,5.75,Bankier inwestycyjny
6.78,8.45,7.34,5.45,6.01,7.62,6.4,6.68,6.4,6.95,Menedżer projektów IT
6.98,8.65,7.54,5.65,6.21,7.82,6.6,6.88,6.6,7.15,Menedżer projektów IT
6.78,8.45,7.34,5.45,6.01,5.41,4.86,1.58,5.93,4.48,Menedżer projektów IT
6.98,8.65,7.54,5.65,6.21,5.55,5.0,1.6,6.09,4.62,Menedżer projektów IT
7.79,9.46,8.35,6.46,7.02,6.12,5.57,1.68,6.73,5.19,Menedżer projektów IT
7.99,9.66,8.55,6.66,7.22,6.26,5.71,1.7,6.89,5.33,Menedżer projektów IT
6.34,8.12,2.89,6.78,4.78,7.23,4.84,3.84,5.56,7.45,Specjalista wsparcia IT
6.34,8.12,2.89,6.78,4.78,5.15,3.75,1.81,5.61,4.53,Specjalista wsparcia IT
7.35,9.13,3.9,7.79,5.79,5.86,4.46,1.92,6.41,5.23,Specjalista wsparcia IT
8.78,7.34,5.23,6.45,6.01,8.06,5.84,5.62,7.4,6.9,Dziennikarz
8.78,7.34,5.23,6.45,6.01,5.57,5.44,1.13,6.59,5.68,Dziennikarz
9.79,8.35,6.24,7.46,7.02,6.28,6.14,1.23,7.4,6.39,Dziennikarz
8.45,7.89,5.67,7.12,6.45,8.17,6.4,6.06,7.45,7.51,Prawnik
8.45,7.89,5.67,7.12,6.45,5.69,5.36,1.22,6.59,5.65,Prawnik
9.46,8.9,6.68,8.13,7.46,6.4,6.07,1.32,7.4,6.36,Prawnik
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,Biolog morski
8.98,7.87,4.65,5.32,6.21,8.43,4.99,5.43,7.6,6.6,Biolog morski
8.91,7.67,4.45,7.23,5.78,8.29,5.84,5.12,7.35,7.45,Biolog morski
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,Biolog morski
8.98,7.87,4.65,5.32,6.21,5.84,5.42,1.29,6.85,5.55,Biolog morski
8.91,7.67,4.45,7.23,5.78,5.74,5.35,1.33,6.76,5.9,Biolog morski
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,Biolog morski
9.1,8.88,5.66,6.33,7.22,6.28,5.68,1.39,7.21,5.82,Biolog morski
9.92,8.68,5.46,8.24,6.79,6.45,6.05,1.44,7.56,6.61,Biolog morski
8.45,7.78,5.67,7.34,6.45,8.12,6.51,6.06,7.45,7.56,Analityk rynku
8.45,7.78,5.67,7.34,6.45,5.65,5.36,1.18,6.56,5.69,Analityk rynku
9.46,8.79,6.68,8.35,7.46,6.35,6.07,1.28,7.37,6.4,Analityk rynku
8.67,7.67,6.01,7.45,6.45,8.17,6.73,6.23,7.56,7.56,Badacz rynku
8.87,7.87,6.21,7.65,6.65,8.37,6.93,6.43,7.76,7.76,Badacz rynku
8.67,7.67,6.01,7.45,6.45,5.67,5.54,1.13,6.64,5.83,Badacz rynku
8.87,7.87,6.21,7.65,6.65,5.81,5.68,1.15,6.8,5.97,Badacz rynku
9.68,8.68,7.02,8.46,7.46,6.38,6.24,1.23,7.44,6.53,Badacz rynku
9.88,8.88,7.22,8.66,7.66,6.52,6.38,1.25,7.6,6.67,Badacz rynku
6.67,8.45,3.45,6.12,5.23,7.56,4.79,4.34,5.95,7.29,Analityk marketingowy
6.87,8.65,3.65,6.32,5.43,7.76,4.99,4.54,6.15,7.49,Analityk marketingowy
8.45,6.45,7.01,7.56,5.67,7.45,7.29,6.34,7.06,7.01,Analityk marketingowy
6.67,8.45,3.45,6.12,5.23,5.38,4.03,1.81,5.87,4.56,Analityk marketingowy
6.87,8.65,3.65,6.32,5.43,5.52,4.17,1.83,6.03,4.7,Analityk marketingowy
8.45,6.45,7.01,7.56,5.67,5.12,5.63,0.88,6.16,5.74,Analityk marketingowy
7.68,9.46,4.46,7.13,6.24,6.09,4.73,1.91,6.68,5.27,Analityk marketingowy
7.88,9.66,4.66,7.33,6.44,6.23,4.87,1.93,6.84,5.41,Analityk marketingowy
9.46,7.46,8.02,8.57,6.68,5.82,6.33,0.98,6.97,6.44,Analityk marketingowy
6.45,7.23,8.12,7.45,5.78,6.84,7.79,6.95,6.12,7.34,Koordynator marketingu
6.45,7.23,8.12,7.45,5.78,4.83,4.85,1.16,5.39,4.72,Koordynator marketingu
7.46,8.24,9.13,8.46,6.79,5.53,5.56,1.26,6.2,5.42,Koordynator marketingu
8.45,6.45,7.01,7.56,5.67,7.45,7.29,6.34,7.06,7.01,Copywriter marketingowy
8.25,6.25,6.81,7.36,5.47,7.25,7.09,6.14,6.86,6.81,Copywriter marketingowy
8.45,6.45,7.01,7.56,5.67,5.12,5.63,0.88,6.16,5.74,Copywriter marketingowy
8.25,6.25,6.81,7.36,5.47,4.98,5.49,0.86,6.0,5.6,Copywriter marketingowy
9.46,7.46,8.02,8.57,6.68,5.82,6.33,0.98,6.97,6.44,Copywriter marketingowy
9.26,7.26,7.82,8.37,6.48,5.68,6.19,0.96,6.81,6.3,Copywriter marketingowy
6.23,7.34,8.78,7.45,5.67,6.79,8.12,7.23,5.95,7.4,Menedżer marketingu
7.87,6.32,8.98,7.65,6.65,7.1,8.32,7.82,7.26,6.99,Menedżer marketingu
6.23,7.34,8.78,7.45,5.67,4.81,4.87,1.24,5.32,4.61,Menedżer marketingu
7.87,6.32,8.98,7.65,6.65,4.89,5.73,0.53,5.83,5.47,Menedżer marketingu
7.24,8.35,9.79,8.46,6.68,5.51,5.58,1.34,6.13,5.31,Menedżer marketingu
8.88,7.33,3.54,8.66,7.66,5.6,5.15,0.63,6.64,6.17,Menedżer marketingu
6.87,8.65,3.65,6.32,5.43,7.76,4.99,4.54,6.15,7.49,Badacz marketingowy
6.87,8.65,3.65,6.32,5.43,5.52,4.17,1.83,6.03,4.7,Badacz marketingowy
7.88,9.66,4.66,7.33,6.44,6.23,4.87,1.93,6.84,5.41,Badacz marketingowy
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Doradca małżeński
7.21,7.98,5.43,9.32,6.21,7.6,7.38,5.82,6.71,8.65,Doradca małżeński
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Doradca małżeński
7.21,7.98,5.43,9.32,6.21,5.36,4.69,1.33,6.0,5.47,Doradca małżeński
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Doradca małżeński
8.22,8.99,6.5,5.6,7.22,6.06,5.41,1.43,6.81,5.23,Doradca małżeński
6.78,7.67,3.78,4.89,4.34,7.23,4.34,4.06,5.56,6.28,Projektant mechaniczny
7.67,6.89,3.78,4.89,4.34,7.28,4.34,4.06,6.01,5.89,Projektant mechaniczny
7.47,6.69,3.58,4.69,4.14,7.08,4.14,3.86,5.81,5.69,Projektant mechaniczny
6.78,7.67,3.78,4.89,4.34,5.1,4.15,1.77,5.69,4.37,Projektant mechaniczny
7.67,6.89,3.78,4.89,4.34,5.06,4.59,1.45,5.9,4.81,Projektant mechaniczny
7.47,6.69,3.58,4.69,4.14,4.92,4.45,1.43,5.74,4.67,Projektant mechaniczny
7.79,8.68,4.79,5.9,5.35,5.81,4.85,1.87,6.5,5.08,Projektant mechaniczny
8.68,7.9,4.79,5.9,5.35,5.76,5.3,1.56,6.71,5.52,Projektant mechaniczny
8.48,7.7,4.59,5.7,5.15,5.62,5.16,1.54,6.55,5.38,Projektant mechaniczny
6.78,7.23,3.89,5.12,4.67,7.01,4.51,4.28,5.73,6.18,Inżynier mechaniczny
6.58,7.03,3.69,4.92,4.47,6.81,4.31,4.08,5.53,5.98,Inżynier mechaniczny
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Inżynier mechaniczny
6.78,7.23,3.89,5.12,4.67,4.93,4.17,1.49,5.56,4.41,Inżynier mechaniczny
6.58,7.03,3.69,4.92,4.47,4.79,4.03,1.47,5.4,4.27,Inżynier mechaniczny
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Inżynier mechaniczny
7.79,8.24,4.9,6.13,5.68,5.63,4.88,1.59,6.37,5.12,Inżynier mechaniczny
7.59,8.04,4.7,5.93,5.48,5.49,4.74,1.57,6.21,4.98,Inżynier mechaniczny
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Inżynier mechaniczny
9.34,4.45,8.45,6.45,7.12,6.9,7.45,7.79,8.23,5.45,Muzyk
9.34,4.45,8.45,6.45,7.12,4.58,6.36,0.36,6.01,5.96,Muzyk
8.23,5.46,9.46,7.46,8.13,4.65,6.01,0.26,5.75,5.61,Muzyk
4.01,8.23,6.67,9.34,5.12,6.12,8.01,5.9,4.57,8.79,Pielęgniarka
4.01,8.23,6.67,9.34,5.12,4.5,3.34,1.76,4.47,3.87,Pielęgniarka
5.02,9.24,7.68,9.3,6.13,5.2,4.05,1.86,5.28,4.37,Pielęgniarka
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Terapeuta zajęciowy
7.21,7.98,5.43,9.32,6.21,7.6,7.38,5.82,6.71,8.65,Terapeuta zajęciowy
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Terapeuta zajęciowy
7.21,7.98,5.43,9.32,6.21,5.36,4.69,1.33,6.0,5.47,Terapeuta zajęciowy
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Terapeuta zajęciowy
8.22,8.99,7.5,9.21,7.22,6.06,5.61,1.43,6.81,5.95,Terapeuta zajęciowy
7.65,7.32,4.87,8.87,6.54,7.49,6.87,5.71,7.1,8.1,Strażnicy parku
7.65,7.32,4.87,8.87,6.54,5.22,4.8,0.97,6.02,5.6,Strażnicy parku
8.66,8.33,5.88,9.88,7.55,5.93,5.51,1.07,6.83,6.31,Strażnicy parku
6.21,7.98,5.43,9.54,6.65,7.1,7.49,6.04,6.43,8.76,Pediatra
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.2,5.5,5.01,Pediatra
7.22,8.99,6.44,6.34,7.66,5.76,4.9,1.3,6.31,4.88,Pediatra
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Pielęgniarka pediatryczna
6.21,7.98,5.43,9.54,6.65,7.1,7.49,6.04,6.43,8.76,Pielęgniarka pediatryczna
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Pielęgniarka pediatryczna
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.2,5.5,5.01,Pielęgniarka pediatryczna
7.02,8.79,6.24,9.23,7.46,5.62,4.76,1.28,6.15,5.36,Pielęgniarka pediatryczna
7.22,8.99,6.44,7.34,7.66,5.76,4.9,1.3,6.31,5.08,Pielęgniarka pediatryczna
6.01,8.45,5.23,9.34,6.45,7.23,7.29,5.84,6.23,8.9,Pediatra
6.21,8.65,5.43,9.54,6.65,7.43,7.49,6.04,6.43,9.1,Pediatra
6.01,8.45,5.23,9.34,6.45,5.18,4.05,1.45,5.54,4.87,Pediatra
6.21,8.65,5.43,9.54,6.65,5.32,4.19,1.47,5.7,5.01,Pediatra
7.02,9.46,6.24,8.23,7.46,5.89,4.76,1.55,6.35,5.16,Pediatra
7.22,9.66,5.98,8.2,7.66,6.03,4.81,1.57,6.51,5.25,Pediatra
7.12,9.45,4.23,6.78,4.56,8.29,5.51,4.4,5.84,8.12,Farmaceuta
7.12,9.45,4.23,6.78,4.56,5.92,4.41,2.41,6.4,4.92,Farmaceuta
8.13,6.8,5.24,7.79,5.57,5.16,5.11,1.05,6.11,5.62,Farmaceuta
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.9,8.23,Fizjoterapeuta
4.32,8.12,5.23,9.12,6.01,6.22,7.18,5.62,5.17,8.62,Fizjoterapeuta
4.12,7.92,5.03,8.92,5.81,6.02,6.98,5.42,4.97,8.42,Fizjoterapeuta
7.78,7.34,5.23,9.12,6.01,5.27,4.94,1.13,6.09,5.71,Fizjoterapeuta
4.32,8.12,5.23,9.12,6.01,4.54,3.21,1.45,4.6,3.98,Fizjoterapeuta
4.12,7.92,5.03,8.92,5.81,4.4,3.07,1.43,4.44,3.84,Fizjoterapeuta
8.79,8.35,6.24,10.13,7.02,5.98,5.64,1.23,6.9,6.42,Fizjoterapeuta
5.33,9.13,6.24,10.13,7.02,5.25,3.91,1.55,5.4,4.69,Fizjoterapeuta
5.13,8.93,6.04,9.56,6.82,5.11,3.77,1.53,5.24,4.48,Fizjoterapeuta
7.89,9.23,5.01,7.45,6.34,8.56,6.23,5.68,7.12,8.34,Lekarz
7.89,9.23,5.01,7.45,6.34,6.06,4.95,1.79,6.71,5.44,Lekarz
8.9,8.6,6.02,8.46,7.35,6.11,5.65,1.24,7.03,6.14,Lekarz
5.67,8.78,7.12,6.45,6.01,7.23,6.79,6.57,5.84,7.62,Detektyw policyjny
5.67,8.78,7.12,6.45,6.01,5.21,4.26,1.71,5.47,4.13,Detektyw policyjny
6.68,9.79,8.13,7.46,7.02,5.92,4.97,1.81,6.28,4.83,Detektyw policyjny
2.67,8.78,7.67,8.45,6.45,5.73,8.06,7.06,4.56,8.62,Policjant
2.87,8.98,7.87,8.65,6.65,5.93,8.26,7.26,4.76,8.82,Policjant
2.67,8.78,7.67,8.45,6.45,4.31,2.87,1.58,3.97,3.03,Policjant
2.87,8.98,7.87,8.65,6.65,4.45,3.01,1.6,4.13,3.17,Policjant
3.68,9.79,8.68,9.46,7.46,5.02,3.58,1.68,4.78,3.73,Policjant
3.88,9.99,8.88,9.66,7.66,5.16,3.72,1.7,4.94,3.87,Policjant
8.78,8.34,7.45,6.45,5.45,8.56,6.95,6.45,7.12,7.4,Menedżer produktu
8.98,8.54,7.65,6.65,5.65,8.76,7.15,6.65,7.32,7.6,Menedżer produktu
8.78,8.34,7.45,6.45,5.45,5.97,5.88,1.7,6.89,5.68,Menedżer produktu
8.98,8.54,7.65,6.65,5.65,6.11,6.02,1.72,7.05,5.82,Menedżer produktu
9.79,9.35,8.46,7.46,6.46,6.68,6.59,1.8,7.7,6.39,Menedżer produktu
8.34,9.55,8.66,7.66,6.66,6.32,5.9,1.82,7.04,5.7,Menedżer produktu
8.78,7.45,5.34,8.45,6.01,8.12,6.9,5.68,7.4,7.95,Psycholog
8.78,7.45,5.34,8.45,6.01,5.61,5.46,1.18,6.63,6.08,Psycholog
9.79,8.46,6.35,9.46,7.02,6.32,6.17,1.28,7.43,6.79,Psycholog
8.78,7.67,4.45,5.12,6.01,8.23,4.79,5.23,7.4,6.4,Analityk zdrowia publicznego
8.98,7.87,4.65,5.32,6.21,8.43,4.99,5.43,7.6,6.6,Analityk zdrowia publicznego
8.78,7.67,4.45,5.12,6.01,5.7,5.28,1.27,6.69,5.41,Analityk zdrowia publicznego
8.98,7.87,4.65,5.32,6.21,5.84,5.42,1.29,6.85,5.55,Analityk zdrowia publicznego
9.79,8.68,5.46,6.13,7.02,6.41,5.99,1.37,7.5,6.12,Analityk zdrowia publicznego
9.34,8.88,5.66,6.33,7.22,6.35,5.8,1.39,7.33,5.94,Analityk zdrowia publicznego
6.67,7.34,8.45,7.89,5.45,7.01,8.17,6.95,6.06,7.62,Menedżer ds. relacji publicznych
6.67,7.34,8.45,7.89,5.45,4.94,5.03,1.3,5.54,4.91,Menedżer ds. relacji publicznych
7.68,8.35,9.46,8.9,6.46,5.64,5.73,1.4,6.35,5.62,Menedżer ds. relacji publicznych
6.67,7.34,8.67,7.89,5.45,7.01,8.28,7.06,6.06,7.62,Specjalista ds. PR
6.87,7.54,8.87,8.09,5.65,7.21,8.48,7.26,6.26,7.82,Specjalista ds. PR
6.67,7.34,8.67,7.89,5.45,4.94,5.07,1.3,5.54,4.91,Specjalista ds. PR
6.87,7.54,8.87,8.09,5.65,5.08,5.21,1.32,5.7,5.05,Specjalista ds. PR
7.68,8.35,9.68,8.9,6.46,5.64,5.78,1.4,6.35,5.62,Specjalista ds. PR
7.88,8.55,9.88,9.1,6.66,5.78,5.92,1.42,6.51,5.76,Specjalista ds. PR
6.01,8.45,3.78,4.01,4.67,7.23,3.9,4.23,5.34,6.23,Inspektor kontroli jakości
6.21,8.65,3.98,4.21,4.87,7.43,4.1,4.43,5.54,6.43,Inspektor kontroli jakości
6.01,8.45,3.78,4.01,4.67,5.18,3.76,1.98,5.54,3.81,Inspektor kontroli jakości
6.21,8.65,3.98,4.21,4.87,5.32,3.9,2.0,5.7,3.95,Inspektor kontroli jakości
7.02,9.46,4.79,5.02,5.68,5.89,4.47,2.08,6.35,4.51,Inspektor kontroli jakości
7.22,9.66,4.99,5.22,5.88,6.03,4.61,2.1,6.51,4.65,Inspektor kontroli jakości
5.23,7.67,4.67,8.56,8.12,6.45,6.62,6.4,6.68,8.12,Technolog radiologiczny
5.43,7.87,4.87,8.76,8.32,6.65,6.82,6.6,6.88,8.32,Technolog radiologiczny
5.23,7.67,4.67,8.56,8.12,4.64,3.55,0.63,4.92,4.33,Technolog radiologiczny
5.43,7.87,4.87,8.76,8.32,4.78,3.69,0.65,5.08,4.47,Technolog radiologiczny
6.24,8.68,5.68,9.57,9.13,5.34,4.26,0.73,5.72,5.03,Technolog radiologiczny
6.44,8.88,5.88,9.77,5.6,5.48,4.4,1.87,5.88,5.17,Technolog radiologiczny
6.12,7.01,8.67,7.89,5.34,6.57,8.28,7.01,5.73,7.45,Agent nieruchomości
6.12,7.01,8.67,7.89,5.34,4.64,4.79,1.2,5.16,4.64,Agent nieruchomości
7.13,8.02,9.68,8.9,6.35,5.35,5.5,1.3,5.97,5.35,Agent nieruchomości
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Doradca rehabilitacyjny
6.21,7.98,5.43,9.54,6.65,7.1,7.49,6.04,6.43,8.76,Doradca rehabilitacyjny
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Doradca rehabilitacyjny
6.21,7.98,5.43,9.54,6.65,5.06,4.19,1.2,5.5,5.01,Doradca rehabilitacyjny
7.02,8.79,6.24,7.23,7.46,5.62,4.76,1.28,6.15,4.96,Doradca rehabilitacyjny
7.22,8.99,7.2,7.4,7.66,5.76,5.05,1.3,6.31,5.09,Doradca rehabilitacyjny
9.12,8.78,4.23,5.67,4.56,8.95,4.95,4.4,6.84,7.23,Naukowiec badawczy
9.12,8.78,4.23,5.67,4.56,6.25,5.41,2.14,7.19,5.69,Naukowiec badawczy
9.2,9.79,5.24,6.68,5.57,6.68,5.65,2.25,7.54,5.94,Naukowiec badawczy
7.34,7.67,4.23,5.23,4.67,7.51,4.73,4.45,6.01,6.45,Inżynier robotyki
7.54,7.87,4.43,5.43,4.87,7.71,4.93,4.65,6.21,6.65,Inżynier robotyki
7.34,7.67,4.23,5.23,4.67,5.27,4.52,1.67,5.97,4.72,Inżynier robotyki
7.54,7.87,4.43,5.43,4.87,5.41,4.66,1.69,6.13,4.86,Inżynier robotyki
8.35,8.68,5.24,6.24,5.68,5.98,5.22,1.77,6.78,5.42,Inżynier robotyki
8.55,8.88,5.44,6.44,5.88,6.12,5.36,1.79,6.94,5.56,Inżynier robotyki
6.12,6.78,9.34,7.56,5.01,6.45,8.45,7.18,5.57,7.17,Sprzedawca
6.12,6.78,9.34,7.56,5.01,4.55,4.93,1.21,5.09,4.57,Sprzedawca
7.13,7.79,7.2,8.57,6.02,5.26,5.01,1.31,5.9,5.28,Sprzedawca
6.67,7.34,8.45,7.89,5.45,7.01,8.17,6.95,6.06,7.62,Menedżer mediów społecznościowych
6.47,7.14,8.25,7.69,5.25,6.81,7.97,6.75,5.86,7.42,Menedżer mediów społecznościowych
6.67,7.34,8.45,7.89,5.45,4.94,5.03,1.3,5.54,4.91,Menedżer mediów społecznościowych
6.47,7.14,8.25,7.69,5.25,4.8,4.89,1.28,5.38,4.77,Menedżer mediów społecznościowych
7.68,8.35,9.46,8.9,6.46,5.64,5.73,1.4,6.35,5.62,Menedżer mediów społecznościowych
7.48,8.15,9.26,8.7,6.26,5.5,5.59,1.38,6.19,5.48,Menedżer mediów społecznościowych
7.56,7.01,4.67,9.23,6.34,7.29,6.95,5.51,6.95,8.12,Pracownik socjalny
7.56,7.01,4.67,9.23,6.34,5.07,4.71,0.9,5.88,5.63,Pracownik socjalny
8.57,8.02,5.68,7.1,7.35,5.78,5.42,1.0,6.69,5.71,Pracownik socjalny
8.78,7.89,5.67,6.01,4.67,8.34,5.84,5.17,6.73,6.95,Programista
8.78,7.89,5.67,6.01,4.67,5.79,5.52,1.76,6.76,5.59,Programista
9.79,8.9,6.68,7.02,5.68,6.5,6.23,1.86,7.57,6.3,Programista
6.78,8.45,5.12,6.01,4.56,7.62,5.57,4.84,5.67,7.23,Tester jakości oprogramowania
6.78,8.45,5.12,6.01,4.56,5.41,4.41,2.01,5.93,4.59,Tester jakości oprogramowania
7.79,9.46,6.13,7.02,5.57,6.12,5.12,2.11,6.73,5.3,Tester jakości oprogramowania
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Nauczyciel edukacji specjalnej
4.32,8.12,5.23,9.12,6.01,6.22,7.18,5.62,5.17,8.62,Nauczyciel edukacji specjalnej
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Nauczyciel edukacji specjalnej
4.32,8.12,5.23,9.12,6.01,4.54,3.21,1.45,4.6,3.98,Nauczyciel edukacji specjalnej
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Nauczyciel edukacji specjalnej
5.33,9.13,6.24,10.13,7.02,5.25,3.91,1.55,5.4,4.69,Nauczyciel edukacji specjalnej
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Logopeda
6.21,7.98,5.43,9.54,6.65,7.1,7.49,6.04,6.43,8.76,Logopeda
7.78,7.34,5.23,9.12,6.01,7.56,7.18,5.62,6.9,8.23,Logopeda
