O_score,C_score,E_score,A_score,N_score,Career
6.68,9.79,8.13,7.46,7.02,Detektyw policyjny
2.67,8.78,7.67,8.45,6.45,Policjant
2.87,8.98,7.87,8.65,6.65,Policjant
2.67,8.78,7.67,8.45,6.45,Policjant
2.87,8.98,7.87,8.65,6.65,Policjant
3.68,9.79,8.68,9.46,7.46,Policjant
3.88,9.99,8.88,9.66,7.66,Policjant
8.78,8.34,7.45,6.45,5.45,Menedżer produktu
8.98,8.54,7.65,6.65,5.65,Menedżer produktu
8.78,8.34,7.45,6.45,5.45,Menedżer produktu
8.98,8.54,7.65,6.65,5.65,Menedżer produktu
9.79,9.35,8.46,7.46,6.46,Menedżer produktu
8.34,9.55,8.66,7.66,6.66,Menedżer produktu
8.78,7.45,5.34,8.45,6.01,Psycholog
8.78,7.45,5.34,8.45,6.01,Psycholog
9.79,8.46,6.35,9.46,7.02,Psycholog
8.78,7.67,4.45,5.12,6.01,Analityk zdrowia publicznego
8.98,7.87,4.65,5.32,6.21,Analityk zdrowia publicznego
8.78,7.67,4.45,5.12,6.01,Analityk zdrowia publicznego
8.98,7.87,4.65,5.32,6.21,Analityk zdrowia publicznego
9.79,8.68,5.46,6.13,7.02,Analityk zdrowia publicznego
9.34,8.88,5.66,6.33,7.22,Analityk zdrowia publicznego
6.67,7.34,8.45,7.89,5.45,Menedżer ds. relacji publicznych
6.67,7.34,8.45,7.89,5.45,Menedżer ds. relacji publicznych
7.68,8.35,9.46,8.9,6.46,Menedżer ds. relacji publicznych
6.67,7.34,8.67,7.89,5.45,Specjalista ds. PR
6.87,7.54,8.87,8.09,5.65,Specjalista ds. PR
6.67,7.34,8.67,7.89,5.45,Specjalista ds. PR
6.87,7.54,8.87,8.09,5.65,Specjalista ds. PR
7.68,8.35,9.68,8.9,6.46,Specjalista ds. PR
7.88,8.55,9.88,9.1,6.66,Specjalista ds. PR
6.01,8.45,3.78,4.01,4.67,Inspektor kontroli jakości
6.21,8.65,3.98,4.21,4.87,Inspektor kontroli jakości
6.01,8.45,3.78,4.01,4.67,Inspektor kontroli jakości
6.21,8.65,3.98,4.21,4.87,Inspektor kontroli jakości
7.02,9.46,4.79,5.02,5.68,Inspektor kontroli jakości
7.22,9.66,4.99,5.22,5.88,Inspektor kontroli jakości
5.23,7.67,4.67,8.56,8.12,Technolog radiologiczny
5.43,7.87,4.87,8.76,8.32,Technolog radiologiczny
5.23,7.67,4.67,8.56,8.12,Technolog radiologiczny
5.43,7.87,4.87,8.76,8.32,Technolog radiologiczny
6.24,8.68,5.68,9.57,9.13,Technolog radiologiczny
6.44,8.88,5.88,9.77,5.6,Technolog radiologiczny
6.12,7.01,8.67,7.89,5.34,Agent nieruchomości
6.12,7.01,8.67,7.89,5.34,Agent nieruchomości
7.13,8.02,9.68,8.9,6.35,Agent nieruchomości
6.01,7.78,5.23,9.34,6.45,Doradca rehabilitacyjny
6.21,7.98,5.43,9.54,6.65,Doradca rehabilitacyjny
6.01,7.78,5.23,9.34,6.45,Doradca rehabilitacyjny
6.21,7.98,5.43,9.54,6.65,Doradca rehabilitacyjny
7.02,8.79,6.24,7.23,7.46,Doradca rehabilitacyjny
7.22,8.99,7.2,7.4,7.66,Doradca rehabilitacyjny
9.12,8.78,4.23,5.67,4.56,Naukowiec badawczy
9.12,8.78,4.23,5.67,4.56,Naukowiec badawczy
9.2,9.79,5.24,6.68,5.57,Naukowiec badawczy
7.34,7.67,4.23,5.23,4.67,Inżynier robotyki
7.54,7.87,4.43,5.43,4.87,Inżynier robotyki
7.34,7.67,4.23,5.23,4.67,Inżynier robotyki
7.54,7.87,4.43,5.43,4.87,Inżynier robotyki
8.35,8.68,5.24,6.24,5.68,Inżynier robotyki
8.55,8.88,5.44,6.44,5.88,Inżynier robotyki
6.12,6.78,9.34,7.56,5.01,Sprzedawca
6.12,6.78,9.34,7.56,5.01,Sprzedawca
7.13,7.79,7.2,8.57,6.02,Sprzedawca
6.67,7.34,8.45,7.89,5.45,Menedżer mediów społecznościowych
6.47,7.14,8.25,7.69,5.25,Menedżer mediów społecznościowych
6.67,7.34,8.45,7.89,5.45,Menedżer mediów społecznościowych
6.47,7.14,8.25,7.69,5.25,Menedżer mediów społecznościowych
7.68,8.35,9.46,8.9,6.46,Menedżer mediów społecznościowych
7.48,8.15,9.26,8.7,6.26,Menedżer mediów społecznościowych
7.56,7.01,4.67,9.23,6.34,Pracownik socjalny
7.56,7.01,4.67,9.23,6.34,Pracownik socjalny
8.57,8.02,5.68,7.1,7.35,Pracownik socjalny
8.78,7.89,5.67,6.01,4.67,Programista
8.78,7.89,5.67,6.01,4.67,Programista
9.79,8.9,6.68,7.02,5.68,Programista
6.78,8.45,5.12,6.01,4.56,Tester jakości oprogramowania
6.78,8.45,5.12,6.01,4.56,Tester jakości oprogramowania
7.79,9.46,6.13,7.02,5.57,Tester jakości oprogramowania
7.01,7.78,5.23,9.12,6.01,Nauczyciel edukacji specjalnej
4.32,8.12,5.23,9.12,6.01,Nauczyciel edukacji specjalnej
7.01,7.78,5.23,9.12,6.01,Nauczyciel edukacji specjalnej
4.32,8.12,5.23,9.12,6.01,Nauczyciel edukacji specjalnej
8.02,8.79,6.24,10.13,7.02,Nauczyciel edukacji specjalnej
5.33,9.13,6.24,10.13,7.02,Nauczyciel edukacji specjalnej
6.01,7.78,5.23,9.34,6.45,Logopeda
6.21,7.98,5.43,9.54,6.65,Logopeda
7.78,7.34,5.23,9.12,6.01,Logopeda
6.01,7.78,5.23,9.34,6.45,Logopeda
6.21,7.98,5.43,9.54,6.65,Logopeda
7.78,7.34,5.23,9.12,6.01,Logopeda
7.02,8.79,6.24,8.2,7.46,Logopeda
7.22,8.99,6.34,7.98,7.66,Logopeda
8.79,8.35,6.24,10.13,7.02,Logopeda
7.78,7.34,5.23,9.12,6.01,Terapeuta mowy
7.58,7.14,5.03,8.92,5.81,Terapeuta mowy
7.78,7.34,5.23,9.12,6.01,Terapeuta mowy
7.58,7.14,5.03,8.92,5.81,Terapeuta mowy
8.79,8.35,6.24,10.13,7.02,Terapeuta mowy
8.59,8.15,6.04,8.2,6.82,Terapeuta mowy
6.78,7.67,8.45,8.23,6.45,Trener sportowy
6.98,7.87,8.65,8.43,6.65,Trener sportowy
6.78,7.67,8.45,8.23,6.45,Trener sportowy
6.98,7.87,8.65,8.43,6.65,Trener sportowy
7.79,8.68,9.46,9.24,7.46,Trener sportowy
7.99,8.88,9.66,9.44,7.66,Trener sportowy
8.12,8.67,4.67,5.23,4.11,Konsultant ds. zrównoważonego rozwoju
8.12,8.67,4.67,5.23,4.11,Konsultant ds. zrównoważonego rozwoju
9.13,9.68,5.68,6.24,5.12,Konsultant ds. zrównoważonego rozwoju
7.67,9.23,4.23,7.34,6.45,Księgowy ds. podatków
7.87,9.43,4.43,7.54,6.65,Księgowy ds. podatków
7.67,9.23,4.23,7.34,6.45,Księgowy ds. podatków
7.87,9.43,4.43,7.54,6.65,Księgowy ds. podatków
8.68,7.6,5.24,8.35,7.46,Księgowy ds. podatków
8.88,7.65,5.44,8.55,7.66,Księgowy ds. podatków
6.78,8.45,3.45,6.45,5.45,Poborca podatkowy
6.98,8.65,3.65,6.65,5.65,Poborca podatkowy
6.67,8.93,3.45,5.6,2.43,Poborca podatkowy
6.78,8.45,3.45,6.45,5.45,Poborca podatkowy
6.98,8.65,3.65,6.65,5.65,Poborca podatkowy
6.67,8.93,3.45,5.6,2.43,Poborca podatkowy
7.79,9.46,4.46,7.46,6.46,Poborca podatkowy
7.99,9.66,4.66,7.66,6.66,Poborca podatkowy
7.68,9.65,4.46,6.61,3.44,Poborca podatkowy
6.45,7.56,5.67,9.12,4.23,Nauczyciel
6.45,7.56,5.67,9.12,4.23,Nauczyciel
7.46,8.57,6.68,10.13,5.24,Nauczyciel
6.98,8.65,7.54,5.65,6.21,Menedżer projektów technicznych
6.98,8.65,7.54,5.65,6.21,Menedżer projektów technicznych
7.99,9.66,8.55,6.66,7.22,Menedżer projektów technicznych
7.67,8.78,5.45,7.45,6.01,Autor tekstów technicznych
7.87,8.98,5.65,7.65,6.21,Autor tekstów technicznych
7.67,8.78,5.45,7.45,6.01,Autor tekstów technicznych
7.87,8.98,5.65,7.65,6.21,Autor tekstów technicznych
8.68,9.79,6.46,8.46,7.02,Autor tekstów technicznych
8.88,8.7,6.66,8.66,7.22,Autor tekstów technicznych
7.34,6.98,3.67,5.23,4.67,Planista transportu
7.34,6.98,3.67,5.23,4.67,Planista transportu
8.35,7.99,4.68,6.24,5.68,Planista transportu
9.23,8.23,5.67,4.23,6.45,Projektant UI/UX
9.23,8.23,5.67,4.23,6.45,Projektant UI/UX
8.34,9.24,6.68,5.24,7.46,Projektant UI/UX
6.78,7.34,3.67,5.23,4.67,Urbanista
7.34,6.98,3.67,5.23,4.67,Urbanista
7.14,6.78,3.47,5.03,4.47,Urbanista
6.78,7.34,3.67,5.23,4.67,Urbanista
7.34,6.98,3.67,5.23,4.67,Urbanista
7.14,6.78,3.47,5.03,4.47,Urbanista
7.79,8.35,4.68,6.24,5.68,Urbanista
8.35,7.99,4.68,6.24,5.68,Urbanista
8.15,7.79,4.48,6.04,5.48,Urbanista
8.78,4.23,7.67,7.45,6.45,Tester gier wideo
8.98,4.43,7.87,7.65,6.65,Tester gier wideo
8.78,4.23,7.67,7.45,6.45,Tester gier wideo
8.98,4.43,7.87,7.65,6.65,Tester gier wideo
9.79,5.24,8.68,8.46,7.46,Tester gier wideo
9.4,5.44,8.88,8.66,7.66,Tester gier wideo
8.67,7.78,5.67,4.23,6.45,Deweloper stron internetowych
9.23,8.23,5.67,4.23,6.45,Deweloper stron internetowych
9.03,8.03,5.47,4.03,6.25,Deweloper stron internetowych
8.67,7.78,5.67,4.23,6.45,Deweloper stron internetowych
9.23,8.23,5.67,4.23,6.45,Deweloper stron internetowych
9.03,8.03,5.47,4.03,6.25,Deweloper stron internetowych
9.68,8.79,6.68,5.24,7.46,Deweloper stron internetowych
9.45,9.24,6.68,5.24,7.46,Deweloper stron internetowych
9.67,9.04,6.48,5.04,7.26,Deweloper stron internetowych
8.78,7.67,4.45,5.12,6.01,Biolog dzikiej przyrody
8.91,7.67,4.45,7.23,5.78,Biolog dzikiej przyrody
8.71,7.47,4.25,7.03,5.58,Biolog dzikiej przyrody
8.78,7.67,4.45,5.12,6.01,Biolog dzikiej przyrody
8.91,7.67,4.45,7.23,5.78,Biolog dzikiej przyrody
8.71,7.47,4.25,7.03,5.58,Biolog dzikiej przyrody
9.79,8.68,5.46,6.13,7.02,Biolog dzikiej przyrody
8.45,8.68,5.46,8.24,6.79,Biolog dzikiej przyrody
9.72,8.48,5.26,8.04,6.59,Biolog dzikiej przyrody
8.89,7.67,4.45,5.12,6.01,Konservator dzikiej przyrody
9.09,7.87,4.65,5.32,6.21,Konservator dzikiej przyrody
8.89,7.67,4.45,5.12,6.01,Konservator dzikiej przyrody
9.09,7.87,4.65,5.32,6.21,Konservator dzikiej przyrody
8.23,8.68,5.46,6.13,7.02,Konservator dzikiej przyrody
9.12,8.88,5.66,6.33,7.22,Konservator dzikiej przyrody
8.78,7.67,4.45,5.12,6.01,Zoolog
8.58,7.47,4.25,4.92,5.81,Zoolog
8.78,7.67,4.45,5.12,6.01,Zoolog
8.58,7.47,4.25,4.92,5.81,Zoolog
9.79,8.68,5.46,6.13,7.02,Zoolog
9.59,8.48,5.26,5.93,6.82,Zoolog
